,goal combination,count,pick count
0,"['3 Swords, Tunics, Boots, and Shields', '30 Different Skulltulas']",24,2
1,"['30 Different Skulltulas', '7 Compasses']",23,1
2,"['30 Different Skulltulas', 'Beat the Spirit Temple']",21,1
3,"['30 Different Skulltulas', 'Green Gauntlets']",19,1
4,"['30 Different Skulltulas', 'Dins Fire']",19,1
5,"['30 Different Skulltulas', 'All 5 Skulltulas in Fire Temple']",18,1
6,"['Beat the Spirit Temple', 'Dins Fire']",17,1
7,"['30 Different Skulltulas', 'Both HPs in Lost Woods']",17,1
8,"['1 Skulltula from each Adult Dungeon', 'All 5 Skulltulas in Shadow Temple']",16,2
9,"['7 Compasses', 'Quiver (50)']",16,1
10,"['10 Songs', 'Both HPs in Lost Woods']",15,1
11,"['Beat the Spirit Temple', 'Silver Scale']",15,1
12,"['30 Different Skulltulas', 'Two Fairy Spells']",15,1
13,"['Beat the Spirit Temple', 'Quiver (50)']",15,2
14,"['All 5 Skulltulas in Shadow Temple', 'Both Rusty Switches in Spirit Temple']",15,1
15,"['Both Rusty Switches in Spirit Temple', 'Quiver (50)']",15,1
16,"['8 Hearts (no duping)', 'Beat the Spirit Temple']",15,5
17,"['30 Different Skulltulas', 'Map & Compass in Bottom of the Well']",15,1
18,"['3 Swords, Tunics, Boots, and Shields', '9 Songs']",15,2
19,"['3 Swords, Tunics, Boots, and Shields', 'All 5 Skulltulas in Fire Temple']",15,1
20,"['Beat the Spirit Temple', 'Two Fairy Spells']",14,1
21,"['Both Rusty Switches in Spirit Temple', 'Clear 8 Silver Rupee Rooms']",14,5
22,"['8 Hearts (no duping)', 'Both Rusty Switches in Spirit Temple']",14,2
23,"['1 Skulltula from each Adult Dungeon', '8 Different Unused Keys in Gerudo Training Grounds']",14,2
24,"['1 Skulltula from each Adult Dungeon', '8 Hearts (no duping)']",14,2
25,"['Dins Fire', 'Open All 6 Gold Rupee Chests']",14,1
26,"['Both Rusty Switches in Spirit Temple', 'Dins Fire']",14,2
27,"['3 Swords, Tunics, Boots, and Shields', '8 Hearts (no duping)']",14,2
28,"['7 Compasses', 'Green Gauntlets']",14,2
29,"['7 Compasses', 'All 5 Skulltulas in Fire Temple']",14,5
30,"['10 Songs', 'Dins Fire']",13,1
31,"['3 Swords, Tunics, Boots, and Shields', 'Open 3 Gold Rupee Chests']",13,3
32,"['Beat the Spirit Temple', 'Green Gauntlets']",13,1
33,"['10 Songs', '8 Hearts (no duping)']",13,1
34,"['3 Swords & 3 Shields', 'Open All 6 Gold Rupee Chests']",13,1
35,"['Beat the Fire Temple', 'Beat the Spirit Temple']",13,1
36,"['1 Skulltula from each Adult Dungeon', 'Quiver (50)']",13,1
37,"['All 5 Skulltulas in Fire Temple', 'Beat the Spirit Temple']",13,2
38,"['Open All 6 Gold Rupee Chests', 'Quiver (50)']",13,3
39,"['All 5 Lake Hylia Skulltulas', 'Both Rusty Switches in Spirit Temple']",13,1
40,"['9 Hearts (no duping)', 'Two Fairy Spells']",13,2
