goal,count,pick count,win count,pick%,win%,median,sub 1:15,sub 1:15 rate
10 Songs,1,2,1,200.0,50.0,1:12:57,1,50.0
Shadow Temple Boss Key,1,2,1,200.0,50.0,1:12:14,2,100.0
Obtain all 5 Small Keys in Shadow Temple,1,2,1,200.0,50.0,1:14:56,1,50.0
Map & Compass in Water Temple,1,2,1,200.0,50.0,1:12:57,1,50.0
5 Unused Keys in Gerudo Training Grounds,1,2,1,200.0,50.0,1:10:23,1,50.0
All 5 Skulltulas in Fire Temple,1,2,1,200.0,50.0,1:12:57,1,50.0
1 Skulltula from each Child Dungeon,2,3,1,150.0,33.3,1:17:00,1,33.3
1 Skulltula from each Adult Dungeon,5,5,3,100.0,60.0,1:08:15,4,80.0
Bolero of Fire,1,1,0,100.0,0.0,1:24:15,0,0.0
Double Defense,2,2,1,100.0,50.0,1:14:56,1,50.0
Exactly 20 Deku Sticks,2,2,1,100.0,50.0,1:12:57,1,50.0
All 5 Skulltulas in Water Temple,2,2,1,100.0,50.0,1:09:58,1,50.0
Cow in House,1,1,0,100.0,0.0,1:12:48,1,100.0
3 Swords & 3 Boots,2,2,2,100.0,100.0,1:16:42,1,50.0
Beat the Deku Tree,1,1,0,100.0,0.0,1:17:49,0,0.0
Both Hyrule Field area Skulltulas,1,1,1,100.0,100.0,1:04:04,1,100.0
Map & Compass in Deku Tree,1,1,0,100.0,0.0,1:33:24,0,0.0
Minuet of Forest,2,2,1,100.0,50.0,1:14:56,1,50.0
Goron Bracelet,1,1,0,100.0,0.0,1:33:24,0,0.0
Map & Compass in Forest Temple,1,1,0,100.0,0.0,1:24:15,0,0.0
Map & Compass in Jabu-Jabu,1,1,1,100.0,100.0,1:08:15,1,100.0
Map & Compass in Spirit Temple,1,1,0,100.0,0.0,1:17:00,0,0.0
3 Lake Hylia Skulltulas,1,1,1,100.0,100.0,1:04:04,1,100.0
3 Boss Keys,1,1,0,100.0,0.0,1:17:00,0,0.0
Obtain all 5 Small Keys in Forest Temple,1,1,1,100.0,100.0,1:21:44,0,0.0
Defeat a Skull Kid,2,2,2,100.0,100.0,1:12:20,1,50.0
Open 3 Gold Rupee Chests,1,1,0,100.0,0.0,1:33:24,0,0.0
Fill all 4 Bottle Slots,1,1,1,100.0,100.0,1:08:40,1,100.0
Epona's Song,1,1,0,100.0,0.0,1:24:15,0,0.0
Defeat Queen Gohma,1,1,0,100.0,0.0,1:12:48,1,100.0
5 Magic Beans,3,3,2,100.0,66.7,1:08:40,2,66.7
Desert Colossus HP,1,1,1,100.0,100.0,1:08:40,1,100.0
7 Different Bottled Contents,1,1,1,100.0,100.0,1:08:15,1,100.0
All 5 Lake Hylia Skulltulas,3,2,1,66.7,50.0,1:20:49,1,50.0
Quiver (50),4,2,1,50.0,50.0,1:12:57,1,50.0
Defeat Volvagia,2,1,0,50.0,0.0,1:17:49,0,0.0
9 Hearts (no duping),2,1,0,50.0,0.0,1:17:49,0,0.0
3 Skulltulas in Water Temple,2,1,1,50.0,100.0,1:04:04,1,100.0
5 Zora area HPs,2,1,0,50.0,0.0,1:17:49,0,0.0
Get to the end of Water Trial,2,1,1,50.0,100.0,1:08:40,1,100.0
Map & Compass in Fire Temple,2,1,1,50.0,100.0,1:02:57,1,100.0
Get to the end of Spirit Trial,2,1,1,50.0,100.0,1:21:44,0,0.0
Din's Fire,2,1,1,50.0,100.0,1:11:41,1,100.0
Fire Temple Boss Key,2,1,1,50.0,100.0,1:11:41,1,100.0
Nayru's Love,2,1,1,50.0,100.0,1:04:04,1,100.0
"3 Swords, Tunics, Boots, and Shields",5,2,1,40.0,50.0,1:21:02,1,50.0
30 Different Skulltulas,3,1,1,33.3,100.0,1:21:44,0,0.0
Free all 9 Gorons in Fire Temple,3,1,0,33.3,0.0,1:12:48,1,100.0
Both Rusty Switches in Spirit Temple,3,1,1,33.3,100.0,1:04:04,1,100.0
8 Hearts (no duping),3,1,0,33.3,0.0,1:24:15,0,0.0
3 Shields & 3 Boots,4,1,0,25.0,0.0,1:24:15,0,0.0
Beat the Spirit Temple,5,1,1,20.0,100.0,1:11:41,1,100.0
Clear 8 Silver Rupee Rooms,1,0,0,0.0,0.0,nan,0,0.0
Defeat 4 Different Iron Knuckles,1,0,0,0.0,0.0,nan,0,0.0
8 Different Unused Keys in Gerudo Training Grounds,1,0,0,0.0,0.0,nan,0,0.0
7 Compasses,1,0,0,0.0,0.0,nan,0,0.0
6 Hearts,1,0,0,0.0,0.0,nan,0,0.0
Get to the end of Forest Trial,1,0,0,0.0,0.0,nan,0,0.0
Farore's Wind,1,0,0,0.0,0.0,nan,0,0.0
