,wins,losses,average,median,forfeits,blanks,sarias,multizl,synergy
Fenyan,2,2,1:24:38,1:24:53,0,0,1,1,68.75
MikeKatz45,2,2,1:21:00,1:20:44,0,0,0,1,65.17857142857143
Davpat,1,3,1:38:04,1:33:53,0,0,0,0,66.07142857142857
tob3000,4,0,1:06:53,1:08:10,0,0,0,1,89.28571428571429
QuickKiran,3,1,1:17:37,1:18:38,0,0,0,0,77.67857142857143
Lake_oot,2,2,1:24:42,1:26:19,1,0,0,1,65.17857142857143
scaramanga,3,1,1:14:12,1:13:55,0,0,0,1,84.82142857142857
Timato,3,1,1:13:13,1:13:42,0,0,0,0,79.46428571428571
DiamondFlash27,3,1,1:19:18,1:17:10,0,0,0,0,84.82142857142857
MatttInTheHat,2,2,1:26:33,1:26:34,0,0,0,0,61.60714285714286
JFM2796,2,2,1:38:30,1:30:36,0,0,0,0,32.142857142857146
Condor,0,3,1:40:20,1:44:37,0,0,1,1,47.61904761904762
Link11,3,1,1:21:17,1:22:11,0,0,0,0,78.57142857142857
Jake Wright,2,3,1:18:49,1:19:53,0,1,0,0,75.0
CoffeePot,1,3,1:33:02,1:33:08,0,0,0,0,85.71428571428571
moosecrap,1,3,1:40:04,1:41:14,0,0,2,1,91.07142857142857
noface099,0,4,2:12:35,2:12:35,2,3,1,0,50.0
Amateseru,4,1,1:15:59,1:12:23,0,0,0,1,60.71428571428571
xwillmarktheplace,2,2,1:21:20,1:19:17,0,0,0,0,66.96428571428571
Gombill,2,2,1:34:25,1:32:25,0,0,0,0,84.82142857142857
Myelin,2,3,1:54:29,1:45:37,0,1,3,1,45.535714285714285
Bonooru,3,1,1:12:15,1:13:45,0,0,0,0,75.0
juwk,3,1,1:10:31,1:10:33,1,1,0,0,78.57142857142857
Chris7,3,1,1:09:58,1:09:37,0,0,0,1,84.82142857142857
Exodus,4,0,1:09:19,1:09:34,0,0,0,0,91.07142857142857
PhilippeTitou,3,1,1:15:34,1:12:21,0,0,0,2,86.60714285714286
AverageGreg,2,2,1:15:34,1:15:55,1,0,0,0,82.14285714285714
MutantAura,1,3,1:32:20,1:33:54,1,0,0,0,63.39285714285714
Xanra,3,1,1:19:03,1:18:48,0,1,0,0,85.71428571428571
Bou_Frost,1,2,1:47:19,1:50:25,0,0,1,0,40.476190476190474
mkbgnr,0,4,2:17:34,2:17:34,2,1,0,0,76.19047619047619
Midboss,3,1,1:36:29,1:36:23,0,0,1,1,56.25
the__consultant,2,2,1:23:17,1:22:45,0,0,1,0,50.0
Tashman91,1,3,1:33:45,1:35:33,0,0,0,0,74.10714285714286
Numberplay,2,2,1:25:08,1:25:29,0,0,0,3,74.10714285714286
MooseOoT,2,2,1:12:50,1:12:01,1,1,0,2,97.61904761904762
blinkzy,2,2,1:22:00,1:18:28,0,1,0,0,72.61904761904762
Runnerguy2489,2,1,1:14:11,1:15:10,0,0,0,0,75.0
adef,1,3,1:38:06,1:37:34,0,0,0,0,65.17857142857143
FantaTanked,3,1,1:17:32,1:14:11,0,1,0,0,73.80952380952381
PhoenixFeather,3,1,1:13:54,1:14:03,0,1,0,0,88.0952380952381
Hapenfors,1,3,1:31:32,1:33:22,0,0,2,0,56.25
Chromium_Light,1,3,1:59:07,1:59:07,3,2,0,0,75.0
Countdown,0,3,1:51:31,1:51:31,1,0,1,0,88.0952380952381
Fleush,2,2,1:18:49,1:20:15,1,1,0,1,89.28571428571429
gc_one,0,3,1:55:34,1:55:34,2,1,2,0,85.71428571428571
Kayla,0,2,2:15:36,2:15:36,0,0,0,0,73.21428571428571
Nalle,2,2,1:33:25,1:36:38,0,0,2,0,82.14285714285714
Valientlink,2,2,1:26:48,1:22:29,0,0,0,0,49.107142857142854
PsyMarth,2,2,1:23:34,1:23:01,0,0,0,1,82.14285714285714
ZAR,1,3,1:42:20,1:37:56,0,0,1,1,67.85714285714286
shaggy,3,1,1:20:07,1:20:20,0,0,1,1,73.21428571428571
