,wins,losses,average,median,forfeits,blanks,sarias,multizl,mean synergy,mean estimate diff
Exodus,2,1,1:06:26,1:05:40,0,0,0,1,-4.8,-6.0
Link11,0,1,1:24:15,1:24:15,0,0,0,0,-2.0,-5.0
tob3000,5,1,1:07:46,1:06:59,0,0,0,1,-4.4,-5.0
Midboss,0,1,1:33:24,1:33:24,0,0,1,0,-7.8,-7.0
Amateseru,1,1,1:10:14,1:10:14,1,1,0,0,-6.0,-6.2
shaggy,0,1,1:15:40,1:15:40,0,0,0,0,-6.0,-6.2
PhoenixFeather,1,1,1:10:36,1:10:36,0,0,0,0,-5.9,-6.8
PhilippeTitou,0,1,1:17:00,1:17:00,0,0,0,0,-6.5,-6.8
Bonooru,1,1,1:11:08,1:11:08,0,0,0,0,-7.0,-5.5
scaramanga,0,1,1:12:48,1:12:48,0,0,0,0,-5.8,-6.5
juwk,4,2,1:07:26,1:08:43,1,1,0,1,-6.8,-6.2
FantaTanked,0,1,1:17:49,1:17:49,0,0,0,0,-9.2,-6.8
Timato,2,1,1:09:35,1:09:35,1,1,0,1,-6.4,-5.6
Xanra,0,1,1:22:06,1:22:06,0,0,0,1,-8.5,-7.0
Chris7,1,1,1:21:44,1:21:44,1,1,0,0,-6.0,-5.5
QuickKiran,0,1,nan,nan,1,1,0,0,,
