,wins,losses,average,median,forfeits,blanks,sarias,multizl,mean synergy,mean estimate diff
tob3000,2,0,1:06:59,1:06:59,0,0,0,0,-5.1,-7.5
Bonooru,1,1,1:11:08,1:11:08,0,0,0,0,-7.0,-5.5
juwk,2,0,1:06:18,1:06:18,0,0,0,0,-8.2,-7.2
Amateseru,1,1,1:10:14,1:10:14,1,1,0,0,-6.0,-6.2
Midboss,0,1,1:33:24,1:33:24,0,0,1,0,-7.8,-7.0
scaramanga,0,1,1:12:48,1:12:48,0,0,0,0,-5.8,-6.5
Timato,1,0,1:07:46,1:07:46,0,0,0,1,-8.8,-8.8
Xanra,0,1,1:22:06,1:22:06,0,0,0,1,-8.8,-8.8
Exodus,2,0,1:04:52,1:04:52,0,0,0,0,-7.2,-7.1
PhoenixFeather,1,1,1:10:36,1:10:36,0,0,0,0,-5.9,-7.0
Link11,0,1,1:24:15,1:24:15,0,0,0,0,-2.0,-5.0
Chris7,1,0,1:21:44,1:21:44,0,0,0,0,-6.0,-5.5
QuickKiran,0,1,nan,nan,1,1,0,0,,
FantaTanked,0,1,1:17:49,1:17:49,0,0,0,0,-9.2,-6.8
Titou,0,1,1:17:00,1:17:00,0,0,0,0,-7.8,-9.2
shaggy,0,1,1:15:40,1:15:40,0,0,0,0,-6.0,-6.2
