goal,count,pick count,win count,pick%,win%,median,sub 1:15,sub 1:15 rate
Defeat King Dodongo,3,4,2,133.3,50.0,1:26:41,2,50.0
Desert Colossus HP,4,4,1,100.0,25.0,1:22:28,2,50.0
Defeat Bongo-Bongo,3,3,2,100.0,66.7,1:17:26,1,33.3
3 Shields,7,7,5,100.0,71.4,1:18:29,3,42.9
Map & Compass in Ice Cavern,6,6,3,100.0,50.0,1:16:39,2,33.3
All 3 Kokiri Forest area Skulltulas,3,3,1,100.0,33.3,1:40:45,1,33.3
6 Compasses,9,8,4,88.9,50.0,1:27:04,2,25.0
15 Different Skulltulas,8,7,3,87.5,42.9,1:27:01,0,0.0
Map & Compass in Shadow Temple,8,7,5,87.5,71.4,1:18:46,2,28.6
Clear 4 Silver Rupee Rooms,7,6,2,85.7,33.3,1:31:50,0,0.0
500 Rupees,7,6,3,85.7,50.0,1:21:32,2,33.3
3 Lake Hylia Skulltulas,6,5,2,83.3,40.0,1:28:44,1,20.0
Beat the Forest Temple,6,5,3,83.3,60.0,1:18:54,1,20.0
3 Boots,6,5,3,83.3,60.0,1:13:44,3,60.0
1 Skulltula from each Child Dungeon,6,5,2,83.3,40.0,1:33:18,2,40.0
Two Fairy Spells,20,16,9,80.0,56.2,1:26:30,6,37.5
Golden Gauntlets,5,4,2,80.0,50.0,1:10:34,3,75.0
Map & Compass in Bottom of the Well,5,4,2,80.0,50.0,1:24:13,1,25.0
5 Zora area HPs,14,11,7,78.6,63.6,1:21:56,4,36.4
3 Tunics & 3 Boots,4,3,2,75.0,66.7,1:44:25,1,33.3
Defeat Phantom Ganon,4,3,1,75.0,33.3,1:10:24,2,66.7
8 Songs,4,3,1,75.0,33.3,1:27:47,0,0.0
10 Songs,24,18,9,75.0,50.0,1:22:12,8,44.4
Ganon's Castle Boss Key,11,8,5,72.7,62.5,1:19:20,3,37.5
7 Maps,18,13,6,72.2,46.2,1:25:39,3,23.1
6 Maps,7,5,2,71.4,40.0,1:28:18,0,0.0
Fire Temple Boss Key,14,10,4,71.4,40.0,1:18:17,5,50.0
Map & Compass in Spirit Temple,16,11,5,68.8,45.5,1:13:29,6,54.5
Saria's Song,12,8,4,66.7,50.0,1:26:38,1,12.5
Water Medallion,3,2,1,66.7,50.0,1:30:53,0,0.0
Defeat Morpha,3,2,2,66.7,100.0,1:34:32,0,0.0
Defeat all Lizalfos in Dodongo's Cavern,6,4,3,66.7,75.0,1:19:39,2,50.0
Open 3 Boss Key Doors,19,12,6,63.2,50.0,1:18:42,4,33.3
7 Songs,8,5,1,62.5,20.0,1:27:55,0,0.0
Beat the Shadow Temple,5,3,2,60.0,66.7,1:40:59,0,0.0
Beat the Fire Temple,10,6,2,60.0,33.3,1:24:09,2,33.3
Map & Compass in Water Temple,5,3,2,60.0,66.7,1:17:28,1,33.3
3 Swords & 3 Tunics,5,3,2,60.0,66.7,1:48:32,0,0.0
Obtain all 5 Small Keys in Forest Temple,5,3,2,60.0,66.7,1:29:07,0,0.0
Water Temple Boss Key,5,3,2,60.0,66.7,1:27:53,0,0.0
8 Hearts (no duping),25,15,8,60.0,53.3,1:20:18,3,20.0
Get Bombchu chest in Spirit Temple,5,3,2,60.0,66.7,1:38:56,1,33.3
Din's Fire,26,15,6,57.7,40.0,1:27:57,4,26.7
All 3 Skulltulas in Ice Cavern,7,4,2,57.1,50.0,1:23:40,1,25.0
7 Hearts (no duping),7,4,3,57.1,75.0,1:12:15,2,50.0
1 Skulltula from each Adult Dungeon,32,17,10,53.1,58.8,1:14:47,9,52.9
1 Unused Small Key in each Adult Dungeon,19,10,7,52.6,70.0,1:25:12,3,30.0
Open All 6 Gold Rupee Chests,25,13,7,52.0,53.8,1:20:32,4,30.8
Defeat Barinade,6,3,1,50.0,33.3,1:28:16,1,33.3
Open the Final Door of Fire Trial,4,2,1,50.0,50.0,1:17:00,1,50.0
3 Shields & 3 Tunics,6,3,2,50.0,66.7,1:17:28,1,33.3
Boomerang,6,3,1,50.0,33.3,1:13:12,2,66.7
Defeat Amy (Green Poe),6,3,1,50.0,33.3,1:35:46,1,33.3
All 4 Wasteland/ Colossus area Skulltulas,6,3,2,50.0,66.7,1:11:55,3,100.0
Mirror Shield,6,3,1,50.0,33.3,1:22:05,0,0.0
4 Unused Keys in Forest Temple,4,2,1,50.0,50.0,1:26:37,0,0.0
6 Different Unused Keys in Gerudo Training Grounds,4,2,0,50.0,0.0,1:46:00,0,0.0
Free all 9 Gorons in Fire Temple,8,4,2,50.0,50.0,1:17:00,2,50.0
Quiver (40),18,9,4,50.0,44.4,1:25:39,2,22.2
Megaton Hammer,12,6,5,50.0,83.3,1:15:43,2,33.3
5 Hearts,8,4,1,50.0,25.0,1:27:42,1,25.0
Spirit Temple Boss Key,4,2,0,50.0,0.0,1:22:47,0,0.0
Open 3 Gold Rupee Chests,12,6,4,50.0,66.7,1:30:00,2,33.3
4 Compasses,4,2,0,50.0,0.0,1:30:07,0,0.0
Defeat Big Octo,8,4,1,50.0,25.0,1:31:35,0,0.0
Defeat Dark Link,8,4,0,50.0,0.0,1:33:47,0,0.0
Lens of Truth,2,1,0,50.0,0.0,1:33:54,0,0.0
Open 5 Gold Rupee Chests,10,5,3,50.0,60.0,1:21:32,1,20.0
Defeat Volvagia,19,9,3,47.4,33.3,1:36:02,2,22.2
Goron Tunic,11,5,4,45.5,80.0,1:13:41,4,80.0
Minuet of Forest,11,5,2,45.5,40.0,1:21:40,0,0.0
Bolero of Fire,11,5,2,45.5,40.0,1:44:44,0,0.0
2 Skulltulas in Lon Lon Ranch,11,5,1,45.5,20.0,1:24:40,1,20.0
7 Compasses,20,9,6,45.0,66.7,1:17:19,4,44.4
Clear 8 Silver Rupee Rooms,9,4,3,44.4,75.0,1:25:02,1,25.0
Giant's Knife,9,4,3,44.4,75.0,1:15:29,2,50.0
Keaton Mask,7,3,1,42.9,33.3,1:40:59,1,33.3
Map & Compass in Dodongo's Cavern,14,6,4,42.9,66.7,1:26:36,1,16.7
Silver Gauntlets,7,3,1,42.9,33.3,1:31:06,1,33.3
Defeat 4 Different Iron Knuckles,12,5,4,41.7,80.0,1:17:19,2,40.0
Blue Fire,5,2,1,40.0,50.0,1:32:19,0,0.0
Beat Jabu-Jabu's Belly,5,2,1,40.0,50.0,1:17:00,1,50.0
Defeat both Flare Dancers,5,2,2,40.0,100.0,1:19:55,1,50.0
2 Boss Keys,5,2,1,40.0,50.0,1:49:18,0,0.0
Map & Compass in Forest Temple,5,2,1,40.0,50.0,1:11:20,2,100.0
Double Defense,10,4,2,40.0,50.0,1:20:50,1,25.0
3 Tunics,16,6,3,37.5,50.0,1:26:45,2,33.3
Open the Final Door of Water Trial,8,3,3,37.5,100.0,1:26:38,1,33.3
Lon Lon Ranch HP,8,3,1,37.5,33.3,1:19:38,1,33.3
All 5 Skulltulas in Spirit Temple,11,4,3,36.4,75.0,1:21:56,0,0.0
Map & Compass in Fire Temple,11,4,1,36.4,25.0,1:36:20,1,25.0
Requiem of Spirit,3,1,1,33.3,100.0,1:31:35,0,0.0
20 Different Skulltulas,6,2,1,33.3,50.0,1:23:06,0,0.0
Bottled Fairy,6,2,1,33.3,50.0,1:20:58,0,0.0
Both Gerudo Valley HPs,6,2,1,33.3,50.0,1:30:01,0,0.0
Beat Dodongo's Cavern,6,2,1,33.3,50.0,1:24:00,0,0.0
6 Hearts,3,1,0,33.3,0.0,1:27:05,0,0.0
Epona's Song,6,2,1,33.3,50.0,1:20:41,1,50.0
Cow in House,3,1,0,33.3,0.0,1:24:56,0,0.0
30 Different Skulltulas,48,16,6,33.3,37.5,1:30:56,0,0.0
4 Songs,9,3,3,33.3,100.0,1:10:13,2,66.7
9 Songs,9,3,2,33.3,66.7,1:11:11,2,66.7
5 Magic Beans,9,3,2,33.3,66.7,1:22:10,1,33.3
Obtain all 8 Small Keys in Fire Temple,21,7,5,33.3,71.4,1:30:18,1,14.3
Fairy Slingshot,9,3,1,33.3,33.3,1:16:10,1,33.3
Gerudo's Card,9,3,2,33.3,66.7,1:13:20,2,66.7
Silver Scale,13,4,2,30.8,50.0,1:26:46,2,50.0
All 5 Skulltulas in Fire Temple,13,4,2,30.8,50.0,1:16:04,2,50.0
All 5 Skulltulas in Forest Temple,13,4,2,30.8,50.0,1:20:05,2,50.0
All 4 Market area Skulltulas,23,7,2,30.4,28.6,1:24:57,3,42.9
All 3 Elemental Arrows,43,13,7,30.2,53.8,1:28:37,1,7.7
Zora Tunic,10,3,2,30.0,66.7,1:09:35,2,66.7
