,wins,losses,average,median,forfeits,blanks,sarias,multizl,bit,lacs,synergy
MooseOoT,2,2,1:13:54,1:11:56,0,0,0,0,1,1,83.92857142857143
MatttInTheHat,1,3,1:27:49,1:26:15,0,0,2,0,1,0,57.14285714285714
Nalle,3,1,1:20:25,1:18:49,0,0,0,1,0,1,84.82142857142857
LexWatercolor,1,3,1:45:10,1:47:06,0,3,1,0,0,0,7.142857142857142
tob3000,2,2,1:10:39,1:09:28,0,0,1,0,1,0,66.07142857142857
MutantAura,1,3,1:28:19,1:29:50,0,0,1,1,0,2,74.10714285714286
Exodus,3,1,1:09:59,1:10:52,0,0,0,1,0,0,89.28571428571429
The corpser,1,3,2:09:46,1:55:27,0,0,1,1,0,1,66.07142857142857
adef,1,3,1:33:31,1:32:34,0,0,0,0,0,0,64.28571428571429
gc_one,1,3,2:25:51,1:54:52,1,2,0,0,0,1,87.5
JFM2796,2,2,1:29:13,1:26:45,0,1,0,0,0,0,57.14285714285714
Skeleton,0,3,2:28:36,2:32:12,0,1,0,0,1,1,16.071428571428573
Tashman91,2,2,1:41:09,1:42:58,0,0,0,0,0,1,63.39285714285714
moosecrap,1,3,1:44:49,1:46:07,0,0,0,0,0,0,76.78571428571429
Link11,3,1,1:15:34,1:16:05,0,0,0,1,0,0,95.53571428571429
PhilippeTitou,2,2,1:16:38,1:14:49,0,0,0,1,0,1,90.17857142857143
Timato,3,1,1:10:46,1:10:49,0,0,1,0,0,0,58.92857142857143
Fenyan,1,3,1:21:52,1:22:17,0,0,0,1,0,2,71.42857142857143
FantaTanked,4,0,1:10:26,1:10:31,0,1,0,0,0,0,86.9047619047619
blinkzy,2,2,1:26:19,1:23:11,0,4,0,0,0,0,
xwillmarktheplace,2,2,1:20:55,1:18:50,0,0,1,0,0,0,86.60714285714286
Lake_oot,3,1,1:13:38,1:12:21,0,0,1,0,1,0,65.17857142857143
shaggy,2,2,1:30:53,1:24:49,0,1,1,1,0,0,86.9047619047619
PaintSkate8,2,2,1:38:29,1:36:21,0,1,1,0,0,0,65.47619047619048
AverageGreg,3,1,1:11:04,1:11:33,0,0,0,0,0,0,83.92857142857143
Xanra,2,2,1:21:09,1:20:04,0,0,1,0,0,1,83.92857142857143
CoffeePot,0,3,1:29:32,1:31:06,0,0,1,0,0,0,64.28571428571429
Myelin,1,3,1:48:25,1:41:41,1,0,1,0,1,0,85.71428571428571
neefe,2,2,1:29:09,1:27:51,0,0,0,1,0,0,65.17857142857143
West0pher,2,2,1:37:38,1:34:03,0,0,0,0,0,0,89.28571428571429
Ilher,3,1,1:24:02,1:26:38,1,0,1,0,1,0,66.07142857142857
PsyMarth,1,2,1:47:06,1:31:45,0,0,2,3,0,3,39.285714285714285
Runnerguy2489,2,2,1:17:31,1:16:07,0,0,0,0,0,0,63.39285714285714
scaramanga,2,2,1:30:00,1:28:34,0,0,0,0,0,0,77.67857142857143
Gombill,2,2,1:36:44,1:36:45,0,0,0,0,0,0,53.57142857142857
Countdown,2,1,1:44:34,1:44:34,1,1,0,0,0,0,80.35714285714286
Chris7,1,0,1:26:07,1:26:07,0,0,0,0,0,1,82.14285714285714
MikeKatz45,2,2,1:19:30,1:20:20,0,0,1,0,0,0,50.89285714285714
juwk,4,0,1:08:32,1:07:45,0,0,0,0,0,0,66.96428571428571
the__consultant,2,2,1:20:43,1:21:22,0,0,1,0,0,1,60.71428571428571
jenslang,3,1,1:13:46,1:13:26,0,0,0,0,0,0,76.78571428571429
Figure8,1,2,1:58:43,1:58:43,1,2,0,0,0,0,64.28571428571429
