,wins,losses,average,median,forfeits,blanks,sarias,multizl,bit,lacs,synergy
AverageGreg,1,1,1:14:41,1:14:41,0,0,0,0,0,0,92.85714285714286
Runnerguy2489,0,1,1:15:59,1:15:59,0,0,0,0,0,0,96.42857142857143
juwk,1,1,1:12:16,1:12:16,0,1,0,0,0,0,35.714285714285715
MikeKatz45,0,1,1:15:15,1:15:15,0,1,0,0,0,0,
Link11,2,1,1:20:41,1:20:00,0,0,0,0,1,0,77.38095238095238
jenslang,0,1,1:19:43,1:19:43,0,0,0,0,0,0,100.0
Xanra,1,1,1:22:30,1:22:30,0,0,1,1,0,0,44.642857142857146
FantaTanked,0,1,nan,nan,1,1,0,0,0,0,
tob3000,2,1,1:06:54,1:08:11,0,0,1,0,0,0,63.0952380952381
MooseOoT,0,1,1:17:12,1:17:12,0,0,0,0,0,0,85.71428571428571
Exodus,5,0,1:07:32,1:07:50,0,0,0,0,0,2,97.14285714285714
Nalle,0,1,nan,nan,1,0,0,0,0,0,92.85714285714286
Lake_oot,1,1,1:07:52,1:07:52,0,0,0,1,0,0,75.0
PhilippeTitou,0,1,nan,nan,1,0,0,0,0,0,100.0
Timato,3,2,1:09:29,1:10:59,0,1,0,0,0,0,84.82142857142857
xwillmarktheplace,0,1,1:13:48,1:13:48,0,0,0,0,0,0,89.28571428571429
