goal,count,pick count,win count,pick%,win%,median,sub 1:15,sub 1:15 rate
Farore's Wind,1,2,1,200.0,50.0,1:09:06,2,100.0
Ice Arrows,1,2,1,200.0,50.0,1:09:06,2,100.0
Ruto's Letter,1,2,1,200.0,50.0,1:09:06,2,100.0
All 4 Lost Woods area Skulltulas,1,2,1,200.0,50.0,1:16:13,1,50.0
6 Compasses,3,5,3,166.7,60.0,1:08:34,5,100.0
10 Songs,4,5,2,125.0,40.0,1:09:39,4,80.0
Defeat both Flare Dancers,1,1,0,100.0,0.0,nan,0,0.0
All 5 Skulltulas in Fire Temple,2,2,0,100.0,0.0,1:13:52,2,100.0
Obtain all 5 Small Keys in Shadow Temple,1,1,0,100.0,0.0,1:16:04,0,0.0
500 Rupees,1,1,1,100.0,100.0,1:19:12,0,0.0
Cow in House,1,1,1,100.0,100.0,1:11:14,1,100.0
Map & Compass in Jabu-Jabu,2,2,1,100.0,50.0,1:13:42,1,50.0
5 Unused Keys in Gerudo Training Grounds,1,1,1,100.0,100.0,0:53:23,1,100.0
Quiver (40),1,1,0,100.0,0.0,1:14:00,1,100.0
Defeat Twinrova,1,1,1,100.0,100.0,1:19:12,0,0.0
Both Hyrule Field area Skulltulas,1,1,1,100.0,100.0,1:07:42,1,100.0
Two Fairy Spells,1,1,1,100.0,100.0,1:11:20,1,100.0
4 Skulltulas in Shadow Temple,1,1,0,100.0,0.0,nan,0,0.0
Beat Dodongo's Cavern,1,1,0,100.0,0.0,1:14:00,1,100.0
All 5 Skulltulas in Shadow Temple,1,1,1,100.0,100.0,1:11:14,1,100.0
Open 3 Gold Rupee Chests,2,2,1,100.0,50.0,1:16:13,1,50.0
1 Unused Small Key in each Adult Dungeon,1,1,0,100.0,0.0,1:21:52,0,0.0
Fire Temple Boss Key,1,1,1,100.0,100.0,1:11:20,1,100.0
Obtain all 5 Small Keys in Forest Temple,1,1,0,100.0,0.0,1:16:04,0,0.0
Both HPs in Death Mountain Crater,1,1,0,100.0,0.0,nan,0,0.0
Clear 4 Silver Rupee Rooms,1,1,1,100.0,100.0,1:07:42,1,100.0
All 4 Market area Skulltulas,1,1,1,100.0,100.0,1:19:12,0,0.0
Lon Lon Ranch HP,2,2,1,100.0,50.0,1:04:43,1,50.0
Map & Compass in Fire Temple,1,1,1,100.0,100.0,1:11:14,1,100.0
Minuet of Forest,3,2,1,66.7,50.0,1:12:29,2,100.0
1 Skulltula from each Child Dungeon,2,1,0,50.0,0.0,1:13:44,1,100.0
Clear 10 Silver Rupee Rooms,2,1,1,50.0,100.0,1:10:34,1,100.0
Megaton Hammer,4,2,2,50.0,100.0,1:14:53,1,50.0
Quiver (50),2,1,0,50.0,0.0,1:13:44,1,100.0
Saria's Song,2,1,1,50.0,100.0,1:10:34,1,100.0
All 5 Skulltulas in Spirit Temple,2,1,1,50.0,100.0,1:10:35,1,100.0
Defeat Barinade,2,1,1,50.0,100.0,0:53:23,1,100.0
Defeat Bongo-Bongo,2,1,1,50.0,100.0,1:10:35,1,100.0
Nayru's Love,2,1,1,50.0,100.0,1:10:34,1,100.0
Open 2 Boss Key Doors,2,1,1,50.0,100.0,1:07:42,1,100.0
3 Shields & 3 Boots,5,2,0,40.0,0.0,1:13:44,1,50.0
All 8 Zora's Domain area Skulltulas,3,1,1,33.3,100.0,1:11:20,1,100.0
Open the Final Door of Spirit Trial,3,1,1,33.3,100.0,1:11:20,1,100.0
Bottled Fairy,3,1,1,33.3,100.0,1:19:12,0,0.0
Defeat all Lizalfos in Dodongo's Cavern,3,1,1,33.3,100.0,1:10:34,1,100.0
30 Different Skulltulas,3,1,1,33.3,100.0,0:53:23,1,100.0
Defeat Volvagia,4,1,0,25.0,0.0,1:21:52,0,0.0
Open 3 Boss Key Doors,4,1,0,25.0,0.0,nan,0,0.0
"3 Swords, Tunics, Boots, and Shields",4,1,1,25.0,100.0,1:11:14,1,100.0
9 Hearts (no duping),4,1,0,25.0,0.0,1:21:52,0,0.0
All 3 Elemental Arrows,6,1,1,16.7,100.0,1:10:35,1,100.0
2 Skulltulas in Lon Lon Ranch,1,0,0,0.0,0.0,nan,0,0.0
Bullet Bag (50),1,0,0,0.0,0.0,nan,0,0.0
Beat the Fire Temple,1,0,0,0.0,0.0,nan,0,0.0
Beat the Spirit Temple,1,0,0,0.0,0.0,nan,0,0.0
Beat the Water Temple,1,0,0,0.0,0.0,nan,0,0.0
Bolero of Fire,1,0,0,0.0,0.0,nan,0,0.0
8 Hearts (no duping),1,0,0,0.0,0.0,nan,0,0.0
7 Maps,1,0,0,0.0,0.0,nan,0,0.0
Bomb Bag (30),1,0,0,0.0,0.0,nan,0,0.0
