,wins,losses,average,median,forfeits,blanks,sarias,multizl,bit,lacs,hearttrade,synergy
Nalle,3,1,1:17:33,1:14:44,0,0,1,0,1,0,0,79.46428571428571
Gombill,2,2,1:25:34,1:24:20,0,1,1,0,0,0,0,75.0
CoffeePot,2,2,1:32:44,1:32:38,0,0,1,0,0,0,0,75.0
Savestate,0,4,2:25:42,2:30:16,1,0,0,0,0,1,0,84.82142857142857
Cisco64,1,3,1:49:28,1:47:35,0,0,1,0,0,0,0,47.32142857142857
PaintSkate8,2,2,1:25:29,1:26:19,0,2,0,0,0,0,0,91.07142857142857
Myelin,1,3,1:44:39,1:44:39,2,1,1,1,0,1,0,77.38095238095238
Tashman91,1,3,1:36:33,1:35:23,0,0,0,1,0,1,0,48.214285714285715
FantaTanked,4,0,1:12:01,1:10:27,0,0,0,0,0,0,1,51.78571428571429
dotzo,2,2,1:24:04,1:20:43,0,2,0,0,0,0,0,64.28571428571429
Grego,2,2,1:35:46,1:35:41,0,0,0,1,0,3,0,68.75
khuno,1,3,2:09:42,2:08:40,1,3,1,0,0,0,0,89.28571428571429
Timato,3,1,1:11:56,1:13:08,0,1,1,0,0,0,0,72.61904761904762
Challensois_,2,2,1:17:41,1:15:55,0,0,0,1,1,1,1,90.17857142857143
PsyMarth,2,2,1:29:22,1:29:50,0,0,0,0,0,0,0,80.35714285714286
benstephens56,1,3,1:45:45,1:39:09,0,0,0,0,0,0,1,52.67857142857143
juwk,4,0,1:07:57,1:08:52,0,0,0,0,0,0,1,88.39285714285714
MatttInTheHat,2,2,1:28:44,1:23:02,0,0,1,0,0,1,1,76.78571428571429
adef,1,3,1:35:01,1:32:52,0,0,0,1,0,1,1,64.28571428571429
Darker,1,3,2:05:31,1:55:20,0,0,2,1,0,0,0,61.60714285714286
Countdown,1,3,1:39:40,1:39:46,0,0,0,1,0,1,0,88.39285714285714
Midboss,1,3,1:38:14,1:37:09,0,1,0,0,0,0,0,27.380952380952383
neefe,2,2,1:25:39,1:25:55,0,0,0,1,0,0,1,78.57142857142857
The corpser,0,4,2:05:50,2:05:50,3,0,1,1,1,0,0,73.21428571428571
the__consultant,3,1,1:13:50,1:13:54,0,2,0,0,0,1,1,92.85714285714286
MutantAura,2,2,1:17:01,1:16:59,0,0,0,0,0,1,2,72.32142857142857
tob3000,3,1,1:12:51,1:10:59,0,0,0,0,0,2,0,74.10714285714286
Glasfolie,0,4,2:14:39,2:15:35,0,3,0,0,0,1,0,53.57142857142857
jenslang,4,0,1:13:52,1:12:51,0,0,0,0,0,0,0,86.60714285714286
Link11,3,1,1:16:16,1:16:14,0,0,0,0,0,0,2,69.64285714285714
Cloudike,1,3,1:36:55,1:38:07,1,0,2,1,0,1,0,90.17857142857143
gamestabled,1,3,1:42:25,1:44:05,0,0,1,0,0,0,0,85.71428571428571
Exodus,3,1,1:10:35,1:09:56,0,0,0,1,0,3,1,89.28571428571429
blinkzy,2,2,1:21:30,1:16:46,0,2,1,1,0,1,0,73.21428571428571
Fenyan,3,1,1:17:53,1:17:31,0,0,0,1,1,1,1,83.03571428571429
AverageGreg,3,1,1:18:50,1:19:17,0,0,0,1,1,2,1,86.60714285714286
Runnerguy2489,2,2,1:22:00,1:15:10,0,0,0,0,0,0,1,83.92857142857143
2DollarGargoyle,3,1,1:17:05,1:15:14,0,0,0,2,0,1,2,79.46428571428571
LiterallyLake,3,1,1:19:35,1:17:17,0,0,0,0,0,0,0,66.96428571428571
WickedGligar,3,1,1:17:42,1:18:07,0,0,0,0,0,1,0,82.14285714285714
Apasher,2,2,1:29:44,1:29:50,0,0,1,0,1,0,0,94.64285714285714
Cabbage72,2,2,1:34:05,1:36:15,0,0,1,0,0,0,0,61.60714285714286
MooseOoT,2,2,1:15:46,1:16:59,1,1,0,0,0,0,0,78.57142857142857
JFM2796,3,1,1:19:11,1:22:23,0,0,1,1,1,1,0,67.85714285714286
shiroaeli,1,3,1:41:57,1:39:45,0,0,0,1,0,1,0,53.57142857142857
moosecrap,1,3,1:41:59,1:43:52,0,0,2,0,0,0,0,52.67857142857143
Titou,3,1,1:18:29,1:14:39,0,1,0,0,0,0,2,89.28571428571429
triforce3250,2,2,1:25:20,1:26:19,0,0,0,0,0,0,0,68.75
shaggy,2,2,1:36:52,1:33:47,0,0,0,0,0,0,1,58.92857142857143
Bou_Frost,2,2,1:34:14,1:31:40,0,0,2,0,0,1,0,83.03571428571429
