,wins,losses,average,median,forfeits,blanks,sarias,multizl,bit,lacs,hearttrade,synergy
Exodus,1,0,1:07:42,1:07:42,0,0,0,0,0,0,0,75.0
Fenyan,0,1,1:16:24,1:16:24,0,1,0,0,0,0,0,
tob3000,1,0,0:53:23,0:53:23,0,0,0,0,0,0,0,39.285714285714285
LiterallyLake,0,1,1:14:00,1:14:00,0,0,0,0,0,0,0,78.57142857142857
2DollarGargoyle,1,0,1:08:34,1:08:34,0,0,0,1,0,0,0,96.42857142857143
the__consultant,0,1,1:09:39,1:09:39,0,0,0,1,0,0,0,96.42857142857143
FantaTanked,1,0,1:11:20,1:11:20,0,0,0,0,0,0,0,92.85714285714286
Challensois_,0,1,1:16:04,1:16:04,0,0,0,1,0,0,0,89.28571428571429
Timato,1,0,1:10:34,1:10:34,0,0,1,1,0,0,0,85.71428571428571
Link11,0,1,1:21:52,1:21:52,0,0,0,0,0,0,0,53.57142857142857
Titou,1,0,1:10:35,1:10:35,0,0,0,0,0,1,0,82.14285714285714
Nalle,0,1,nan,nan,1,0,0,0,0,0,0,75.0
Runnerguy2489,1,0,1:11:14,1:11:14,0,0,0,0,0,0,0,92.85714285714286
jenslang,0,1,1:13:44,1:13:44,0,0,0,0,0,0,0,96.42857142857143
juwk,1,0,1:19:12,1:19:12,0,0,0,0,1,0,0,35.714285714285715
blinkzy,0,1,1:21:57,1:21:57,0,1,0,0,0,0,0,
