goal,count,pick count,pick%,median,sub 1:15,sub 1:15 rate
Requiem of Spirit,43,56,130.2,1:25:04,12,21.4
Two Fairy Spells,195,241,123.6,1:23:57,50,20.7
1 Skulltula from each Adult Dungeon,296,345,116.6,1:19:58,97,28.1
Map & Compass in Bottom of the Well,84,88,104.8,1:20:03,23,26.1
Map & Compass in Ice Cavern,48,50,104.2,1:25:53,8,16.0
Beat the Deku Tree,55,57,103.6,1:24:01,12,21.1
Defeat King Dodongo,38,38,100.0,1:25:24,10,26.3
All 5 Skulltulas in Fire Temple,130,128,98.5,1:21:33,34,26.6
Ice Arrows,40,39,97.5,1:20:38,4,10.3
6 Compasses,119,115,96.6,1:22:26,31,27.0
Silver Gauntlets,73,70,95.9,1:23:42,15,21.4
Farore's Wind,93,87,93.5,1:20:06,22,25.3
Map & Compass in Shadow Temple,46,43,93.5,1:23:14,6,14.0
All 3 Kokiri Forest area Skulltulas,61,57,93.4,1:18:50,12,21.1
Iron Boots,48,44,91.7,1:24:46,5,11.4
5 Unused Keys in Gerudo Training Grounds,45,41,91.1,1:19:52,9,22.0
6 Different Unused Keys in Gerudo Training Grounds,48,43,89.6,1:22:59,9,20.9
4 Skulltulas in Shadow Temple,120,107,89.2,1:22:15,24,22.4
Double Defense,81,72,88.9,1:21:25,12,16.7
All 5 Skulltulas in Spirit Temple,86,76,88.4,1:18:45,25,32.9
Fill all 4 Bottle Slots,58,51,87.9,1:24:27,8,15.7
All 4 Skulltulas in Jabu-Jabu,49,43,87.8,1:23:19,9,20.9
5 Zora area HPs,131,114,87.0,1:23:15,23,20.2
All 3 Skulltulas in Ice Cavern,49,42,85.7,1:21:33,8,19.0
8 Hearts (no duping),226,192,85.0,1:21:55,42,21.9
All 4 Lost Woods area Skulltulas,65,55,84.6,1:25:01,10,18.2
Fairy Slingshot,58,49,84.5,1:30:22,6,12.2
8 Songs,62,52,83.9,1:19:46,9,17.3
All 5 Skulltulas in Shadow Temple,98,82,83.7,1:25:00,13,15.9
Map & Compass in Water Temple,73,61,83.6,1:23:23,14,23.0
Free all 9 Gorons in Fire Temple,127,105,82.7,1:23:08,25,23.8
7 Compasses,252,208,82.5,1:22:35,43,20.7
6 Songs,39,32,82.1,1:23:34,7,21.9
All 5 Skulltulas in Forest Temple,94,77,81.9,1:20:01,20,26.0
Map & Compass in Forest Temple,93,76,81.7,1:28:19,9,11.8
Defeat all Lizalfos in Dodongo's Cavern,59,48,81.4,1:21:56,15,31.2
Defeat a Skull Kid,123,100,81.3,1:21:01,25,25.0
Epona's Song,80,65,81.2,1:24:05,16,24.6
4 Unused Keys in Forest Temple,74,60,81.1,1:25:03,11,18.3
4 Songs,58,47,81.0,1:23:55,7,14.9
Open 3 Boss Key Doors,161,130,80.7,1:25:01,22,16.9
7 Songs,66,53,80.3,1:21:36,14,26.4
500 Rupees,60,48,80.0,1:25:29,8,16.7
4 Compasses,45,36,80.0,1:20:15,7,19.4
Water Temple Boss Key,50,40,80.0,1:23:15,8,20.0
Double Magic,55,44,80.0,1:26:40,8,18.2
Ganon's Castle Boss Key,122,97,79.5,1:21:50,20,20.6
Defeat 4 Different Iron Knuckles,140,111,79.3,1:19:35,30,27.0
5 Maps,67,53,79.1,1:25:51,11,20.8
Beat Jabu-Jabu's Belly,84,66,78.6,1:26:05,9,13.6
Obtain all 5 Small Keys in Shadow Temple,163,127,77.9,1:22:37,18,14.2
5 Compasses,58,45,77.6,1:24:40,5,11.1
6 Hearts,58,45,77.6,1:27:50,5,11.1
Obtain all 5 Small Keys in Forest Temple,113,87,77.0,1:25:45,18,20.7
3 Boots,69,53,76.8,1:21:45,11,20.8
Defeat Barinade,56,43,76.8,1:28:16,7,16.3
Fire Temple Boss Key,137,105,76.6,1:23:35,21,20.0
Exactly 20 Deku Sticks,102,78,76.5,1:19:57,23,29.5
10 Songs,239,182,76.2,1:22:46,40,22.0
3 Boss Keys,42,32,76.2,1:23:22,3,9.4
7 Hearts (no duping),80,61,76.2,1:25:58,13,21.3
Nayru's Love,88,67,76.1,1:23:07,10,14.9
30 Different Skulltulas,486,370,76.1,1:29:03,45,12.2
Both HPs in Death Mountain Crater,119,90,75.6,1:24:12,18,20.0
7 Maps,123,93,75.6,1:23:43,21,22.6
Open 3 Gold Rupee Chests,162,122,75.3,1:23:04,32,26.2
3 Shields,79,59,74.7,1:22:41,13,22.0
3 Shields & 3 Boots,198,148,74.7,1:22:04,30,20.3
3 Skulltulas in Water Temple,95,71,74.7,1:23:57,11,15.5
Boomerang,55,41,74.5,1:19:33,11,26.8
Milk,47,35,74.5,1:20:20,9,25.7
Forest Temple Boss Key,101,75,74.3,1:21:26,15,20.0
Desert Colossus HP,58,43,74.1,1:21:05,8,18.6
Lon Lon Ranch HP,83,61,73.5,1:23:32,11,18.0
Defeat Dark Link,75,55,73.3,1:24:13,8,14.5
Defeat Queen Gohma,41,30,73.2,1:25:57,12,40.0
Silver Scale,156,114,73.1,1:23:41,23,20.2
9 Songs,89,65,73.0,1:19:30,19,29.2
Beat the Fire Temple,125,91,72.8,1:24:03,12,13.2
Giant's Wallet,55,40,72.7,1:24:32,4,10.0
20 Different Skulltulas,88,64,72.7,1:28:24,7,10.9
Goron Tunic,131,94,71.8,1:21:39,16,17.0
2 Skulltulas in Lon Lon Ranch,127,91,71.7,1:25:00,12,13.2
3 Tunics & 3 Boots,60,43,71.7,1:19:56,11,25.6
Beat the Forest Temple,52,37,71.2,1:19:44,9,24.3
4 Unused Keys in Gerudo Training Grounds,48,34,70.8,1:23:56,8,23.5
Beat the Water Temple,96,68,70.8,1:23:14,16,23.5
15 Different Skulltulas,65,46,70.8,1:27:52,4,8.7
Defeat Big Octo,65,46,70.8,1:25:39,8,17.4
Obtain all 8 Small Keys in Fire Temple,136,96,70.6,1:21:01,20,20.8
Defeat Volvagia,173,122,70.5,1:23:38,25,20.5
Gerudo's Card,70,49,70.0,1:22:53,13,26.5
Bottled Fairy,86,60,69.8,1:22:42,13,21.7
2 Boss Keys,43,30,69.8,1:29:26,2,6.7
Bolero of Fire,115,80,69.6,1:26:12,14,17.5
Defeat Bongo-Bongo,36,25,69.4,1:28:57,6,24.0
Quiver (40),151,104,68.9,1:20:55,22,21.2
Fairy Bow,70,48,68.6,1:25:52,9,18.8
Open the Final Door of Light Trial,76,52,68.4,1:25:45,5,9.6
Fire Medallion,103,70,68.0,1:22:51,16,22.9
Defeat both Flare Dancers,56,38,67.9,1:19:54,7,18.4
All 5 Skulltulas in Dodongo's Cavern,65,44,67.7,1:21:56,11,25.0
Defeat a White Wolfos,43,29,67.4,1:23:55,8,27.6
Open All 6 Gold Rupee Chests,265,178,67.2,1:24:29,22,12.4
1 Unused Small Key in each Adult Dungeon,154,103,66.9,1:26:36,19,18.4
Golden Gauntlets,48,32,66.7,1:19:39,11,34.4
Map & Compass in Fire Temple,80,53,66.2,1:23:36,13,24.5
Ruto's Letter,62,41,66.1,1:19:27,9,22.0
Map & Compass in Deku Tree,53,35,66.0,1:25:37,6,17.1
Minuet of Forest,97,64,66.0,1:23:42,12,18.8
Light Arrows,110,72,65.5,1:24:02,13,18.1
3 Swords & 3 Boots,84,55,65.5,1:25:25,7,12.7
Open 5 Gold Rupee Chests,121,79,65.3,1:22:41,14,17.7
